Acton Town,21, , , , ,115.5,115.5, , , , , , , , ,115.5,115.5, , , , 
Aldgate ,16, , , , , , , , , , ,108.8,108.8, , , , , , , , 
Aldgate East ,14, , , , ,105.0,105.0, , , , , , , , , , , , , , 
Alperton ,33, , , , , , , , , , , , , , ,139.8,139.8, , , , 
Amersham ,145, , , , , , , , , , ,249.3,249.3, , , , , , , , 
Angel ,34, , , , , , , , , , , , ,98.4,98.4, , , , , , 
Archway ,56, , , , , , , , , , , , ,134.9,134.6, , , , , , 
Arnos Grove ,43, , , , , , , , , , , , , , ,137.6,137.6, , , , 
Arsenal ,25, , , , , , , , , , , , , , ,116.8,116.8, , , , 
Baker Street ,27,108.3,105.1, , , , ,118.8,118.9,104.3,107.4,120.5,120.5, , , , , , , , 
Balham ,26, , , , , , , , , , , , ,112.6,112.6, , , , , , 
Bank ,14, , ,93.5,93.5, , , , , , , , ,84.4,84.4, , , , ,94.0,94.0
Barbican ,18, , , , , , , , , , ,109.4,109.4, , , , , , , , 
Barking ,9, , , , ,106.4,106.4, , , , , , , , , , , , , , 
Barkingside ,25, , ,125.5,125.5, , , , , , , , , , , , , , , , 
Barons Court ,4.6, , , , ,101.9,101.9, , , , , , , , ,102.1,102.3, , , , 
Bayswater ,25, , , , ,118.0,118.0, , , , , , , , , , , , , , 
Becontree ,11, , , , ,106.1,106.1, , , , , , , , , , , , , , 
Belsize Park ,68, , , , , , , , , , , , ,132.0,132.8, , , , , , 
Bermondsey ,2, , , , , , , , ,87.5,87.5, , , , , , , , , , 
Bethnal Green ,14, , ,98.0,98.0, , , , , , , , , , , , , , , , 
Blackfriars ,8, , , , ,100.7,100.7, , , , , , , , , , , , , , 
Blackhorse Road ,12, , , , , , , , , , , , , , , , ,96.5,96.4, , 
Bond Street ,22, , ,101.0,101.0, , , , ,91.0,91.0, , , , , , , , , , 
Borough ,4, , , , , , , , , , , , ,87.9,85.2, , , , , , 
Boston Manor ,25, , , , , , , , , , , , , , ,119.4,119.4, , , , 
Bounds Green ,47, , , , , , , , , , , , , , ,130.8,130.8, , , , 
Bow Road ,12, , , , ,106.8,106.8, , , , , , , , , , , , , , 
Brent Cross ,48, , , , , , , , , , , , ,151.9,151.9, , , , , , 
Brixton ,14, , , , , , , , , , , , , , , , ,94.8,94.8, , 
Bromley By Bow ,15, , , , ,112.2,112.2, , , , , , , , , , , , , , 
Buckhurst Hill ,40, , ,134.9,134.9, , , , , , , , , , , , , , , , 
Burnt Oak ,51, , , , , , , , , , , , ,147.0,147.0, , , , , , 
Caledonian Road ,36, , , , , , , , , , , , , , ,112.9,112.9, , , , 
Camden Town City Branch,27, , , , , , , , , , , , ,111.8,108.4, , , , , , 
Camden Town Charing X Branch,27, , , , , , , , , , , , ,111.8,109.3, , , , , , 
Canada Water ,5, , , , , , , , ,86.7,86.7, , , , , , , , , , 
Canary Wharf ,3, , , , , , , , ,84.4,84.4, , , , , , , , , , 
Canning Town ,2, , , , , , , , ,100.0,100.0, , , , , , , , , , 
Cannon Street ,11, , , , ,104.4,104.4, , , , , , , , , , , , , , 
Canons Park ,65, , , , , , , , ,170.1,170.1, , , , , , , , , , 
Chalfont & Latimer ,122, , , , , , , , , , ,220.7,220.7, , , , , , , , 
Chalk Farm ,32, , , , , , , , , , , , ,118.2,119.0, , , , , , 
Chancery Lane ,20, , ,100.0,95.6, , , , , , , , , , , , , , , , 
Charing Cross ,12,88.2,88.2, , , , , , ,81.9,81.9, , ,91.6,91.6, , , , , , 
Chesham ,110, , , , , , , , , , ,210.2, , , , , , , , , 
Chigwell ,44, , ,139.0,139.0, , , , , , , , , , , , , , , , 
Chiswick Park ,10, , , , ,113.0,113.0, , , , , , , , , , , , , , 
Chorleywood ,89, , , , , , , , , , ,188.3,188.3, , , , , , , , 
Clapham Common ,21, , , , , , , , , , , , ,100.8,100.8, , , , , , 
Clapham North ,13, , , , , , , , , , , , ,98.7,98.7, , , , , , 
Clapham South ,28, , , , , , , , , , , , ,110.1,110.1, , , , , , 
Cockfosters ,98, , , , , , , , , , , , , , ,194.0,194.0, , , , 
Colindale ,49, , , , , , , , , , , , ,144.0,144.0, , , , , , 
Colliers Wood ,12, , , , , , , , , , , , ,98.9,98.9, , , , , , 
Covent Garden ,23, , , , , , , , , , , , , , ,86.0,86.0, , , , 
Croxley ,72, , , , , , , , , , ,165.4,165.4, , , , , , , , 
Dagenham East ,10, , , , ,106.4,106.4, , , , , , , , , , , , , , 
Dagenham Heathway ,11, , , , ,106.2,106.2, , , , , , , , , , , , , , 
Debden ,37, , ,136.4,136.4, , , , , , , , , , , , , , , , 
Dollis Hill ,37, , , , , , , , ,139.4,139.4, , , , , , , , , , 
Ealing Broadway ,33, , ,127.9,127.9,127.9,127.9, , , , , , , , , , , , , , 
Ealing Common ,29, , , , ,124.0,124.0, , , , , , , , , , , , , , 
Earls Court ,8, , , , ,102.2,102.2, , , , , , , , ,87.4,87.4, , , , 
East Acton ,12, , ,117.9,117.9, , , , , , , , , , , , , , , , 
East Finchley ,83, , , , , , , , , , , , ,187.4,187.4, , , , , , 
East Ham ,11, , , , ,105.7,105.7, , , , , , , , , , , , , , 
East Putney ,17, , , , ,125.0,125.0, , , , , , , , , , , , , , 
Eastcote ,53, , , , , , , , , , ,148.1,148.1, , , , , , , , 
Edgware ,59, , , , , , , , , , , , ,154.6,154.6, , , , , , 
Edgware Road (Bakerloo),32,107.1,107.1, , , , , , , , , , , , , , , , , , 
"Edgware Road (Circle, District, H & C)",30, , , , ,124.8,124.8,124.8,124.8, , , , , , , , , , , , 
Elephant & Castle ,3,80.2,80.2, , , , , , , , , , ,84.6,84.7, , , , , , 
Elm Park ,18, , , , ,112.3,112.3, , , , , , , , , , , , , , 
Embankment ,5,85.1,85.1, , ,99.6,99.6, , , , , , ,88.6,88.8, , , , , , 
Epping ,81, , ,179.5,179.5, , , , , , , , , , , , , , , , 
Euston City Branch,25, , , , , , , , , , , , ,91.9,92.6, , ,92.5,92.5, , 
Euston Charing X Branch,25, , , , , , , , , , , , ,103.6,103.6, , , , , , 
Euston Square ,25, , , , , , ,118.1,118.1, , ,118.1,118.1, , , , , , , , 
Fairlop ,30, , ,135.2,135.2, , , , , , , , , , , , , , , , 
Farringdon ,11, , , , , , , , , , ,106.5,106.5, , , , , , , , 
Finchley Central ,87, , , , , , , , , , , , ,178.5,178.5, , , , , , 
Finchley Road ,52, , , , , , , , ,148.7,148.7, , , , , , , , , , 
Finsbury Park ,32, , , , , , , , , , , , , , ,123.9,123.9,123.5,123.4, , 
Fulham Broadway ,4, , , , ,98.7,98.7, , , , , , , , , , , , , , 
Gants Hill ,25, , ,107.0,110.1, , , , , , , , , , , , , , , , 
Gloucester Road ,7, , , , ,100.0,100.0, , , , , , , , ,87.4,87.4, , , , 
Golders Green ,70, , , , , , , , , , , , ,173.1,173.1, , , , , , 
Goldhawk Road ,5, , , , , , ,111.0,111.0, , , , , , , , , , , , 
Goodge Street ,27, , , , , , , , , , , , ,98.1,98.1, , , , , , 
Grange Hill ,55, , ,148.8,148.8, , , , , , , , , , , , , , , , 
Great Portland Street ,29, , , , , , , , , , ,121.4,121.4, , , , , , , , 
Green Park ,18, , , , , , , , ,87.0,87.0, , , , ,91.5,91.5,94.5,95.3, , 
Greenford ,22, , ,132.2,132.2, , , , , , , , , , , , , , , , 
Gunnersbury ,10, , , , ,106.0,106.0, , , , , , , , , , , , , , 
Hainault ,36, , ,141.2,141.2, , , , , , , , , , , , , , , , 
Hammersmith  ,5, , , , , , ,104.4,104.4, , , , , , , , , , , , 
Hammersmith  (District),5, , , , ,100.4,100.4, , , , , , , , ,100.4,100.4, , , , 
Hampstead ,108, , , , , , , , , , , , ,149.1,149.9, , , , , , 
Hanger Lane ,40, , ,131.9,131.9, , , , , , , , , , , , , , , , 
Harlesden ,38, , , , , , , , , , , , , , ,131.8,131.8, , , , 
Harrow & Wealdstone ,52, , , , , , , , , , , , , , ,154.2,154.2, , , , 
Harrow On The Hill ,69, , , , , , , , , , ,167.1,167.1, , , , , , , , 
Hatton Cross ,22, , , , , , , , , , , , , , , ,113.4, , , , 
"Heathrow Airport Terminal 1, 2 & 3 ",23, , , , , , , , , , , , , , , ,109.6, , , , 
Heathrow Terminal 4 ,23, , , , , , , , , , , , , , , ,112.9, , , , 
Heathrow Terminal 5,23,,,,,,,,,,,,,,,110.3,110.3,,,,
Hendon Central ,64, , , , , , , , , , , , ,161.5,161.5, , , , , , 
High Barnet ,111, , , , , , , , , , , , ,198.4,198.4, , , , , , 
High Street Kensington ,13, , , , ,107.3,107.3, , , , , , , , , , , , , , 
Highbury & Islington ,34, , , , , , , , , , , , , , , , ,117.8,117.9, , 
Highgate ,100, , , , , , , , , , , , ,162.7,162.7, , , , , , 
Hillingdon ,36, , , , , , , , , , ,136.7,136.7, , , , , , , , 
Holborn ,23, , ,96.8,96.7, , , , , , , , , , ,88.3,81.9, , , , 
Holland Park ,14, , ,95.2,95.2, , , , , , , , , , , , , , , , 
