Waterloo,Lambeth,10 March 1906,1,100.36,,,,
Acton Town,Ealing,1 July 1879,3,6.27,,,,
Aldgate,City of London,18 November 1876,1,8.01,,,,
Aldgate East,Tower Hamlets,6 October 1884,1,13.43,,,,
Alperton,Brent,28 June 1903,4,3.17,,,,
Amersham,Chiltern,1 September 1892,9,2.36,,,,
Angel,Islington,17 November 1901,1,20.1,,,,
Archway,Islington,22 June 1907,2~3,9.94,,,,
Arnos Grove,Enfield,19 September 1932,4,4.65,,,,
Arsenal,Islington,15 December 1906,2,3.01,,,,
Baker Street,City of Westminster,10 January 1863,1,29.75,,,,
Balham,Wandsworth,06 December 1926,3,14.64,,,,
Bank,City of London,8 August 1898,1,64.26,,,,
Barbican,City of London,23 December 1865,1,11.97,,,,
Barking,Barking and Dagenham,02 June 1902,4,15.86,,,,
Barkingside,Redbridge,31 May 1948,4,1.63,,,,
Barons Court,Hammersmith and Fulham,09 October 1905,2,7.21,,,,
Bayswater,City of Westminster,1 October 1868,1,4.76,,,,
Becontree,Barking and Dagenham,18 July 1932,5,3.55,,,,
Belsize Park,Camden,22 June 1907,2,6.48,,,,
Bermondsey,Southwark,17 September 1999,2,11.07,,,,
Bethnal Green,Tower Hamlets,04 December 1946,2,16.27,,,,
Blackfriars,City of London,30 May 1870,1,15.45,,,,
Blackhorse Road,Waltham Forest,01 September 1968,3,8.45,,,,
Bond Street,City of Westminster,24 September 1900,1,39.53,,,,
Borough,Southwark,18 December 1890,1,5.87,,,,
Boston Manor,Ealing,1 May 1883,4,2.32,,,,
Bounds Green,Haringey,19 September 1932,3~4,6.62,,,,
Bow Road,Tower Hamlets,11 June 1902,2,5.65,,,,
Brent Cross,Barnet,19 November 1923,3,2.49,,,,
Brixton,Lambeth,23 July 1971,2,33.46,,,,
Bromley-by-Bow,Tower Hamlets,02 June 1902,2~3,3.79,,,,
Buckhurst Hill,Epping Forest,21 November 1948,5,2.19,,,,
Burnt Oak,Barnet,27 October 1924,4,4.52,,,,
Caledonian Road,Islington,15 December 1906,2,5.73,,,,
Camden Town,Camden,22 June 1907,2,22.88,,,,
Canada Water,Southwark,17 September 1999,2,14.44,,,,
Canary Wharf,Tower Hamlets,17 September 1999,2,54.79,,,,
Canning Town,Newham,14 May 1999,2~3,11.91,,,,
Cannon Street,City of London,6 October 1884,1,8.98,,,,
Canons Park,Harrow,10 December 1932,5,2.93,,,,
Chalfont ~ Latimer,Chiltern,8 July 1889,8,1.49,,,,
Chalk Farm,Camden,22 June 1907,2,5.61,,,,
Chancery Lane,City of London,30 July 1900,1,18.19,,,,
Charing Cross,City of Westminster,10 March 1906,1,8.13,,,,
Chesham,Chiltern,8 July 1889,9,1.07,,,,
Chigwell,Epping Forest,21 November 1948,4,0.53,,,,
Chiswick Park,Ealing,1 July 1879,3,2.29,,,,
Chorleywood,Three Rivers,8 July 1889,7,1.07,,,,
Clapham Common,Lambeth,03 June 1900,2,10.04,,,,
Clapham North,Lambeth,03 June 1900,2,6.9,,,,
Clapham South,Wandsworth,13 September 1926,2~3,8.8,,,,
Cockfosters,Enfield,31 July 1933,5,2.04,,,,
Colindale,Barnet,18 August 1924,4,6.23,,,,
Colliers Wood,Merton,13 September 1926,3,6.72,,,,
Covent Garden,City of Westminster,11 April 1907,1,17.19,,,,
Croxley,Three Rivers,02 November 1925,7,1.08,,,,
Dagenham East,Barking and Dagenham,02 June 1902,5,2.98,,,,
Dagenham Heathway,Barking and Dagenham,12 September 1932,5,6.04,,,,
Debden,Epping Forest,25 September 1949,6,2.47,,,,
Dollis Hill,Brent,01 October 1909,3,4.18,,,,
Ealing Broadway,Ealing,1 July 1879,3,18.6,,,,
Ealing Common,Ealing,1 July 1879,3,3.18,,,,
Earl's Court,Kensington and Chelsea,30 October 1871,1~2,20,,,,
East Acton,Hammersmith and Fulham,03 August 1920,2,4.12,,,,
East Finchley,Barnet,03 July 1939,3,7.47,,,,
East Ham,Newham,02 June 1902,3~4,14.75,,,,
East Putney,Wandsworth,3 June 1889,2~3,6.37,,,,
Eastcote,Hillingdon,26 May 1906,5,2.94,,,,
Edgware,Barnet,18 August 1924,5,5.19,,,,
Edgware Road,City of Westminster,1 October 1863,1,6.96,,,,
Edgware Road,City of Westminster,15 June 1907,1,5.01,,,,
Elephant ~ Castle,Southwark,18 December 1890,1~2,23.3,,,,
Elm Park,Havering,13 May 1935,6,3.1,,,,
Embankment,City of Westminster,30 May 1870,1,26.84,,,,
Epping,Epping Forest,25 September 1949,6,3.77,,,,
Euston,Camden,22 June 1907,1,43.1,,,,
Euston Square,Camden,10 January 1863,1,14.4,,,,
Fairlop,Redbridge,31 May 1948,4,1.2,,,,
Farringdon,Islington,10 January 1863,1,15.87,,,,
Finchley Central,Barnet,14 April 1940,4,6.95,,,,
Finchley Road,Camden,30 June 1879,2,10,,,,
Finsbury Park,Islington,15 December 1906,2,32.74,,,,
Fulham Broadway,Hammersmith and Fulham,1 March 1880,2,10.15,,,,
Gants Hill,Redbridge,14 December 1947,4,7.14,,,,
Gloucester Road,Kensington and Chelsea,1 October 1868,1,13.98,,,,
Golders Green,Barnet,22 June 1907,3,8.51,,,,
Goldhawk Road,Hammersmith and Fulham,01 April 1914,2,2.12,,,,
Goodge Street,Camden,22 June 1907,1,8.46,,,,
Grange Hill,Redbridge,21 November 1948,4,0.66,,,,
Great Portland Street,City of Westminster,10 January 1863,1,8.66,,,,
Green Park,City of Westminster,15 December 1906,1,41.24,,,,
Greenford,Ealing,30 June 1947,4,4.81,,,,
Gunnersbury,Hounslow,1 June 1877,3,5.78,,,,
Hainault,Redbridge,31 May 1948,4,3.74,,,,
Hammersmith,Hammersmith and Fulham,9 September 1874,2,29.42,,,,
Hammersmith,Hammersmith and Fulham,13 June 1864,2,10.57,,,,
Hampstead,Camden,22 June 1907,2~3,4.64,,,,
Hanger Lane,Ealing,30 June 1947,3,4.1,,,,
Harlesden,Brent,16 April 1917,3,3.1,,,,
Harrow ~ Wealdstone,Harrow,16 April 1917,5,4.96,,,,
Harrow-on-the-Hill,Harrow,2 August 1880,5,10.67,,,,
Hatton Cross,Hillingdon,19 July 1975,5~6,3.25,,,,
Heathrow Terminal 4,Hillingdon,12 April 1986,6,2.28,,,,
Heathrow Terminal 5,Hillingdon,27 March 2008,6,4.45,,,,
Heathrow Terminals 2 ~ 3,Hillingdon,16 December 1977,6,7.73,,,,
Hendon Central,Barnet,19 November 1923,3~4,8.13,,,,
High Barnet,Barnet,14 April 1940,5,3.65,,,,
High Street Kensington,Kensington and Chelsea,1 October 1868,1,13.1,,,,
Highbury ~ Islington,Islington,01 September 1968,2,20.22,,,,
Highgate,Haringey,19 January 1941,3,5.77,,,,
Hillingdon,Hillingdon,10 December 1923,6,1.77,,,,
Holborn,Camden,15 December 1906,1,33.96,,,,
Holland Park,Kensington and Chelsea,30 July 1900,2,3.23,,,,
Holloway Road,Islington,15 December 1906,2,6.72,,,,
Hornchurch,Havering,02 June 1902,6,2.11,,,,
Hounslow Central,Hounslow,1 April 1886,4,3.83,,,,
Hounslow East,Hounslow,02 May 1909,4,3.87,,,,
Hounslow West,Hounslow,21 July 1884,5,3.55,,,,
Hyde Park Corner,City of Westminster,15 December 1906,1,6.31,,,,
Ickenham,Hillingdon,25 September 1905,6,1.17,,,,
Kennington,Southwark,18 December 1890,2,5.59,,,,
Kensal Green,Brent,01 October 1916,2,2.72,,,,
Kensington (Olympia),Kensington and Chelsea,1 July 1864,2,2.05,,,,
Kentish Town,Camden,22 June 1907,2,8.36,,,,
Kenton,Brent,16 April 1917,4,2.08,,,,
Kew Gardens,Richmond,1 June 1877,3~4,4.18,,,,
Kilburn,Brent,24 November 1879,2,8.58,,,,
Kilburn Park,Brent,31 January 1915,2,3.43,,,,
King's Cross St. Pancras,Camden,10 January 1863,1,95.03,,,,
Kingsbury,Brent,10 December 1932,4,5.12,,,,
Knightsbridge,Kensington and Chelsea,15 December 1906,1,19.09,,,,
Ladbroke Grove,Kensington and Chelsea,13 June 1864,2,5.8,,,,
Lambeth North,Lambeth,10 March 1906,1,0.00,,,,
Lancaster Gate,City of Westminster,30 July 1900,1,7.06,,,,
Latimer Road,Kensington and Chelsea,16 December 1868,2,7.06,,,,
Leicester Square,City of Westminster,15 December 1906,1,37.84,,,,
Leyton,Waltham Forest,05 May 1947,3,14.33,,,,
